Sentence,Aspect,Polarity
"Kahvaltiliklar geldi cay yok gelen menemen bozuk domatesten,kokusu tadi yenecek gibi degil, yan masada surekli onu istemistik biz gelmedi diyip durdu bizim gibi.",menemen,0
"Kahvaltiliklar geldi cay yok gelen menemen bozuk domatesten,kokusu tadi yenecek gibi degil, yan masada surekli onu istemistik biz gelmedi diyip durdu bizim gibi.",kokusu tadi,0
Normalde sevdigim bir kahvalticiydi bgn ne yedigimi anladim ne bisi!,yedigimi,0
Nereye gitsek kararsızlığına düşmek üzereyken kurtarıcı olan mekandır Kütük Ev.,mekandır,2
"İçeriden ve dışarıdan tamamen bir dağ evini andırmasıyla egzotik bir havaya sahip olan mekanda servis nispeten hızlı, fiyatlar pahalı değil, bahçesi güzel.",fiyatlar,2
"İçeriden ve dışarıdan tamamen bir dağ evini andırmasıyla egzotik bir havaya sahip olan mekanda servis nispeten hızlı, fiyatlar pahalı değil, bahçesi güzel.",bahçesi,2
"İçeriden ve dışarıdan tamamen bir dağ evini andırmasıyla egzotik bir havaya sahip olan mekanda servis nispeten hızlı, fiyatlar pahalı değil, bahçesi güzel.",mekanda,2
"İçeriden ve dışarıdan tamamen bir dağ evini andırmasıyla egzotik bir havaya sahip olan mekanda servis nispeten hızlı, fiyatlar pahalı değil, bahçesi güzel.",servis,2
Sunduklari lezzetleri ve gösterdikleri ilgi ile Küçük Ev sayesinde güzel bir aksam geçirdik.,lezzetleri,2
Sunduklari lezzetleri ve gösterdikleri ilgi ile Küçük Ev sayesinde güzel bir aksam geçirdik.,ilgi,2
Sunduklari lezzetleri ve gösterdikleri ilgi ile Küçük Ev sayesinde güzel bir aksam geçirdik.,Küçük Ev,2
Ardindan en çok begendigim ise döner oldu.,döner,2
Bence buraya yolunuz düserse dönerini ve kavurmali pidesini kesinlik denemenizi öneririm.,dönerini ve kavurmali pidesini,2
Diger yediklerimizide begendim hepsi güzellerdi.,yediklerimizide,2
Kendi üretimleri manda yogurtlarinida denemenizde fayda var.,manda yogurtlarinida,2
Tatlilardan ise en çok kazandibini ve kaymakli ayva tatlisini begendim.,kazandibini,2
Tatlilardan ise en çok kazandibini ve kaymakli ayva tatlisini begendim.,kaymakli ayva tatlisini,2
"Fiyatlar ise sunulan hizmet, kalite ve merkezi konumundan dolayi uygun sayilir.",Fiyatlar,2
"Fiyatlar ise sunulan hizmet, kalite ve merkezi konumundan dolayi uygun sayilir.",hizmet,2
"Fiyatlar ise sunulan hizmet, kalite ve merkezi konumundan dolayi uygun sayilir.",konumundan,2
Öncelikle ortamini çok begendim.,ortamini,2
"Güzel, sik ve ferah bir ortami var.",ortami,2
Özellikle restorantin tam ortasindaki agaç çok hosuma gitti.,agaç,2
O agaci korumak için gösterdiginiz çaba kesinlikle isletmenizin sayginligini fazlasiyla arttiracaktir.,çaba,2
Hazir ürünlerden çok yöresel ve kendi üretimleri ürünleri kullaniyor oluslari çok hosuma gitti.,ürünleri,2
Trabzon ve Rizeden gelen kavurmalar ile yapilan kasarli ve kavurmali pide beni benden aldi.,kasarli ve kavurmali pide,2
Biberler kizartilmadan atilmis içine.,Biberler,0
Bol yumurtali ve birkaç parça domates atilmis içine.,domates,0
Adeta menemen degil biberli omlet olmus gibi.,menemen,0
Açik ayrani fena degildi.,Açik ayrani,1
Manzara disinda deneyimlenecek bir yemegi yok gereksiz pahali ve verdiginiz paraya asla degmeyen menusu var aslinda yok cunku cesit yok.,Manzara,2
Manzara disinda deneyimlenecek bir yemegi yok gereksiz pahali ve verdiginiz paraya asla degmeyen menusu var aslinda yok cunku cesit yok.,cesit,0
Manzara disinda deneyimlenecek bir yemegi yok gereksiz pahali ve verdiginiz paraya asla degmeyen menusu var aslinda yok cunku cesit yok.,yemegi,0
hamburgerini deneyelim dedik kendisi 35tl sunum berbat hamburgeri lezzetli degil saoganlar karamelize degil sadece patates kizartmasi guzel onu da mc donaldsta yeyin.,hamburgeri,0
hamburgerini deneyelim dedik kendisi 35tl sunum berbat hamburgeri lezzetli degil saoganlar karamelize degil sadece patates kizartmasi guzel onu da mc donaldsta yeyin.,patates kizartmasi,2
hamburgerini deneyelim dedik kendisi 35tl sunum berbat hamburgeri lezzetli degil saoganlar karamelize degil sadece patates kizartmasi guzel onu da mc donaldsta yeyin.,sunum,0
dün gidip yeniden kahvalti etme firsati buldugum yer.,yer,2
ben arkadasim ve 2.5 yasindaki oglum rahatlikla doyduk.,doyduk,2
bir kahvalti tabagi ile gelen çay ücretsizdi.,çay,2
yukaridaki masaya ek olarak 3 bardak çay ve su dahil 42 tl ücret ödedik.,ücret,1
kahvalti tabagi 17.90 tl menemen 10 tl patates 8 tl.,kahvalti tabagi,1
kahvalti tabagi 17.90 tl menemen 10 tl patates 8 tl.,menemen,1
kahvalti tabagi 17.90 tl menemen 10 tl patates 8 tl.,patates,1
Sani Istanbul'un dört bir kösesine yayilmis durumda.,Sani,2
Etine eyvallah fakat fiyat konusunda çok uçuklar.,Etine,2
Etine eyvallah fakat fiyat konusunda çok uçuklar.,fiyat,0
Biraz daha ortamini sik hale dönüstürürlerse daha fazla müsteri çekeceklerine eminim.,ortamini,0
Bu kadar çok ve lezzetli çay çeşidini bir arada bulmak çok güzel.,çay,2
Bu kadar çok ve lezzetli çay çeşidini bir arada bulmak çok güzel.,çay,2
"Karaköyün dar sokak aralarında, sokağa koyduğu masalarıyla insanı farklı bir atmosfere sürüklüyor.",sokak aralarında,2
"Karaköyün dar sokak aralarında, sokağa koyduğu masalarıyla insanı farklı bir atmosfere sürüklüyor.",atmosfere,2
Servis çok özenli ve güzel.,Servis,2
Müşterisi genç bir kitle.,Müşterisi,1
Kül tablalarının dolu ve pis durması bana Starbucks'ı hatırlattı.,Kül tablalarının,0
Manzara'ya tabikide yıldızlı 5 !,Manzara'ya,2
Dekorasyon da bir o kadar güzel.,Dekorasyon,2
Fiyatlar gerçekten bir tık üstte ama manzara gözümü her defasında kör ediyor ve görmezden gelebiliyorum.,Fiyatlar,0
Fiyatlar gerçekten bir tık üstte ama manzara gözümü her defasında kör ediyor ve görmezden gelebiliyorum.,manzara,2
Aşk-ı Memnu'yu tatmayan kalmasın!,Aşk-ı Memnu'yu,2
Burdaysanız mutlaka deneyin Kuş Yuvası yenmesi biraz zor bir tatlı ama o da güzel bir alternatif.,Kuş Yuvası,2
yazın dısarıda yer bulması epey zor.,yer,1
fakat kızartma combosu bir harika.,kızartma combosu,2
sürekli kalabalik nedeniyle servis oldukca yavas.,servis,0
bazen bir hesabın gelmesi bile yarım saat sürebiliyor.,hesabın gelmesi,0
Parasıyla almıyormuş gibi davran panpa konsept esinmesi bülent ersoyun fevkinde,konsept,0
"3 arkadaş yaz başı gittik,döner kısma oturduk 7-8 dakika sipariş almaya gelen olmadı.",sipariş,0
Evet yemekler lezzetli ortam guzel fakat hafta sonu gittigimiz icin midir bilmemm cok kalabalikti.,ortam,2
Evet yemekler lezzetli ortam guzel fakat hafta sonu gittigimiz icin midir bilmemm cok kalabalikti.,yemekler,2
Calisanlar pek ilgili degildi hesabi tam 17482 garsona soylememize ragmen yarim saat sonra geldi abartisiz.,Calisanlar,0
Calisanlar pek ilgili degildi hesabi tam 17482 garsona soylememize ragmen yarim saat sonra geldi abartisiz.,hesabi,0
içecek çeşitliliği konusunda biraz yetersiz ancak fiyat olarak tartışmasız çevresine göre çok çok ucuz.,içecek çeşitliliği,0
içecek çeşitliliği konusunda biraz yetersiz ancak fiyat olarak tartışmasız çevresine göre çok çok ucuz.,fiyat,2
Türk kahvesi de fena değil.,Türk kahvesi,2
"Manzarasi ve dizayni guzel fakat garsonlar ilgisiz, porsiyonlar cok kucuk ve pahali.",Manzarasi ve dizayni,2
"Manzarasi ve dizayni guzel fakat garsonlar ilgisiz, porsiyonlar cok kucuk ve pahali.",garsonlar,0
"Manzarasi ve dizayni guzel fakat garsonlar ilgisiz, porsiyonlar cok kucuk ve pahali.",porsiyonlar,0
Lezzet eh iste.,Lezzet,1
Ozetle manzara disinda bisey yok.,manzara,2
Happy hour icin vazgecilmez nokta.,Happy hour,2
Bence burgerleri ve pizzasi Kanyon'da yenebilecek acik ara en iyi.,burgerleri ve pizzasi,2
Zincirler icinde tek tercih edilebilir yer.,yer,2
Adi her ne kadar pizzaci olsa da ne yazik ki pizzalar ortalama.,pizzalar,1
Num Num gerçegi - Yediginiz herseyin hakkini verdikleri bir gerçek.,Yediginiz herseyin,2
Yemeklerin doyuruculugu ve lezzeti tartisilmaz ancak ögle saatlerinde yer bulmakta oldukça sikintili.,Yemeklerin doyuruculugu ve lezzeti,2
Yemeklerin doyuruculugu ve lezzeti tartisilmaz ancak ögle saatlerinde yer bulmakta oldukça sikintili.,yer bulmakta,0
Manzaraya da sufleye de bayildik.,Manzaraya,2
Manzaraya da sufleye de bayildik.,sufleye,2
Karsida isiklariyla Rumeli Hisari ve köprü manzarasi esliginde bir aksamüstü Big Chefs'te oturmak çok keyifliydi.,köprü manzarasi,2
Karsida isiklariyla Rumeli Hisari ve köprü manzarasi esliginde bir aksamüstü Big Chefs'te oturmak çok keyifliydi.,Big Chefs'te oturmak,2
"Sufle 13,5 lira, çay 4,5 lira.","4,5 lira",1
"Sufle 13,5 lira, çay 4,5 lira.","13,5 lira",1
Burada sulu yemek yok.,sulu yemek,1
Gençler ve ögrenciler için fiyatlari daha uygun tutmuslar.,fiyatlari,2
Lahmacun döner burger pide ve köfte çesitleri mevcut.,çesitleri,2
Iftar menüsü 80 TL.,Iftar menüsü,1
Ezogelin çorba çok tuzluydu.,Ezogelin çorba,0
Ve erken servis edildigi için iftara kadar sogudu.,servis edildigi,0
Içli köfte ve pirzola güzeldi.,Içli köfte ve pirzola,2
Servis elemanlari yetersiz oldugu için yavasti.,Servis,0
Her seyden öte böyle bir mekana bu tuvaletler hiç yakismiyor,tuvaletler,0
"Bir yer düşünün ki içecekler bardakla geliyor, garsonlar suratsız ve Islak mendil bulunmuyor sebepsiz yere -_- buraya ne olmuş böyle !",içecekler,0
"Bir yer düşünün ki içecekler bardakla geliyor, garsonlar suratsız ve Islak mendil bulunmuyor sebepsiz yere -_- buraya ne olmuş böyle !",garsonlar,0
"Civardaki restorantlardan pek bir farkı yok, servisi yavaş.",servisi,0
Her deniz ürününü karıştırıp önünüze getiriyorlar.,deniz ürününü,1
Balik ve deniz ürünlerini çok sevmeyenler Balik KFCsi kıvamında olduğu ve Kızartma bol olduğu için sevebilirler.,Kızartma,2
Sadece soya soslu somon başarılıydı.,başarılıydı,0
Sadece soya soslu somon başarılıydı.,soya soslu somon,2
"Kisin iç kismi dag evini animsatan, yazin bahçesi yesillikler icersinde ve ferah olan, açik büfe kahvaltisi zengin çesitleriyle bir hayli rabet gören, bunun haricinde genellikle nargile severlerin ugrak mekani olan tatli bir cafe.",cafe,2
"Kisin iç kismi dag evini animsatan, yazin bahçesi yesillikler icersinde ve ferah olan, açik büfe kahvaltisi zengin çesitleriyle bir hayli rabet gören, bunun haricinde genellikle nargile severlerin ugrak mekani olan tatli bir cafe.",bahçesi,2
"Kisin iç kismi dag evini animsatan, yazin bahçesi yesillikler icersinde ve ferah olan, açik büfe kahvaltisi zengin çesitleriyle bir hayli rabet gören, bunun haricinde genellikle nargile severlerin ugrak mekani olan tatli bir cafe.",açik büfe kahvaltisi,2
"Utanmadan bozuk içli köfte, acilasmis tereyagi servis edebilen bir mekan...",içli köfte,0
"Utanmadan bozuk içli köfte, acilasmis tereyagi servis edebilen bir mekan...",tereyagi,0
Garsonu bu kadar uyardigimizda ise sadece iletirim dedi.,Garsonu,0
Machiato dediğim halde yerine espresso servis eden işletme.,servis eden,0
"Boş bardak, fincan, tabak masada bekliyor, toplayan yok.",toplayan,0
"Kirli, iyi yıkanmamış bardakla çay servisi.",çay servisi,0
Manzara satıyor burada da.,Manzara,2
Manzara satıyor burada da.,satıyor,0
Yoksa Mado'ların kötü bir örneği.,örneği,0
Ev yemekleri hergün farkli - Tipki anne eli degmis gibi lezzetli ev yemekleri...,Ev yemekleri,2
Ev yemekleri hergün farkli - Tipki anne eli degmis gibi lezzetli ev yemekleri...,ev yemekleri,2
Mekan çok küçük hemen doluyor.,Mekan,0
Öglenleri yer bulamadigimiz çok oluyor.,yer bulamadigimiz,0
Genelde ürünler lezzetli ve fiyat da uygun .,fiyat,2
Genelde ürünler lezzetli ve fiyat da uygun .,ürünler,2
"Cok guzel sirin bir mekan yemekler kokteyliler super manzara cok iyi, tabiki bu guzel seyler icin sira bekleyebilirsiniz.",mekan,2
"Cok guzel sirin bir mekan yemekler kokteyliler super manzara cok iyi, tabiki bu guzel seyler icin sira bekleyebilirsiniz.",yemekler,2
"Cok guzel sirin bir mekan yemekler kokteyliler super manzara cok iyi, tabiki bu guzel seyler icin sira bekleyebilirsiniz.",kokteyliler,2
"Cok guzel sirin bir mekan yemekler kokteyliler super manzara cok iyi, tabiki bu guzel seyler icin sira bekleyebilirsiniz.",manzara,2
Malzemeler güzel ama hamuru çok sevemedim.,Malzemeler,2
Malzemeler güzel ama hamuru çok sevemedim.,hamuru,0
Genel olarak mekan şirin.,mekan,2
Alkol olsa daha tutulabilirler.,Alkol,0
Hayatımın en pahalı yemeğini yediğim restoran.,yemeğini,0
Yemekler lezzetli olmasına rağmen FSM köprüsünün başınızın üstünde zebellah gibi durması manzaranın keyfini kaçırmakta.,Yemekler,2
Yemekler lezzetli olmasına rağmen FSM köprüsünün başınızın üstünde zebellah gibi durması manzaranın keyfini kaçırmakta.,manzaranın,0
Yemek porsiyonları çok küçük.,Yemek porsiyonları,0
Vale hizmeti var.,Vale hizmeti,1
Rock'n Roll burger yedim.,Rock'n Roll burger,1
Burger ekmegi yumusamis dagiliyordu.,Burger ekmegi,0
Icinde ki sos da pek bi istah acici degildi.,sos,0
Ortami guzel gidilecekse onun icin gidelebilir.,Ortami,2
"Mekan enteresan bir havaya sahip , haftaici aksamlari abiler ellerinde nargilelerle çayla muhabbetin dibine vururken.",Mekan,1
Hafta sonu sabahlari ozellikle evli ve cocuklu ciftlerin kahvalti merkezi oluyor.,kahvalti merkezi,1
Yemeklerini ve caylarini begendigim.,Yemeklerini,2
Yemeklerini ve caylarini begendigim.,caylarini,2
Fiyat olarak gayet mantikli bir isletme.,Fiyat,2
Kendilerine özel biraları mevcut olsaydı belki daha güzel olurdu ama standart biralardan içmek durumunda kaldık.,biraları,0
Bunun haricinde servis iyi garsonlar güleryüzlü ve rahat bir mekan.,servis,2
Bunun haricinde servis iyi garsonlar güleryüzlü ve rahat bir mekan.,garsonlar,2
Bunun haricinde servis iyi garsonlar güleryüzlü ve rahat bir mekan.,mekan,2
Yemekler de farklı tadlar var.,Yemekler,2
Cuma iş çıkışı arkadaşlarla takılmalık bir mekan.,mekan,2
Çok fazla lezzetli alternatifi bulunan menüsünü seviyorum.,menüsünü,2
Çok fazla lezzetli alternatifi bulunan menüsünü seviyorum.,menüsünü,2
"Magnolia'sı ayrı, limonatası ayrı güzel.",Magnolia'sı,2
"Magnolia'sı ayrı, limonatası ayrı güzel.",limonatası,2
Bir peynirli tostu bile çok özenle sunuyorlar.,sunuyorlar,2
Somon ızgarasına 4 puan.,Somon ızgarasına,1
Güzel bir öğle yemeği molası.,öğle yemeği,2
Bahçesi de güzel.,Bahçesi,2
Salıncağı bile var.,Salıncağı,2
Yemek üzerine de soğuk kahve iyi gidiyor.,soğuk kahve,2
"Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.",müzikleri,2
"Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.",yerlerinden,2
"Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.",servisi,2
"Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.",dekorasyonu,2
"Boğazın en güzel yerlerinden birinde, sıcak, sempatik ve zevkli dekorasyonu ve şahane manzarası, genç müşteri kitlesi, güzel müzikleri yetmezmiş gibi güler yüzlü arkadaşca servisi de mükemmel.",manzarası,2
Kahvaltı seçenekleri çok iyi.,Kahvaltı seçenekleri,2
Yemekleri de fena değil.,Yemekleri,1
Tüm bu özelikleri göz önüne alınca fiyatlar çok makul geliyor.,fiyatlar,2
Besiktaki en hakiki pideci diyebilirim.,pideci,2
fiyatlari 13-17 tl arasi porsiyonlari 1.5 olarak buyutmek de mumkun.,fiyatlari,1
fiyatlari 13-17 tl arasi porsiyonlari 1.5 olarak buyutmek de mumkun.,porsiyonlari,1
puanimdan sirf yavas yuzunden kisiyorum!,kisiyorum,2
otobus duraginin hemen karsisinda yeri cok kolay.,yeri,2
porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem.,porsiyonu,2
porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem.,malzemesi,2
porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem.,hamuru,2
porsiyonu tam malzemesi bol hamuru citir citir fakat servis icin ayni hosnutluktan bahsedemicem.,servis,0
servis oldukca yavas.,servis,0
besiktas da yiyebilceniz en iyi pide ama odun atesinde pisenin yerini tutmuyor tabiki.,pide,2
tatli secenekleri de mevcur sufle ve kunefe var menu de var da pide o kadar gec gelince insani tatli siparisi dusunduruyor.,tatli,2
tatli secenekleri de mevcur sufle ve kunefe var menu de var da pide o kadar gec gelince insani tatli siparisi dusunduruyor.,gelince,0
Eski kalitesinde olmasada hala iyi diyelim talep çok olunca ister istemez kalite ve servis vasata düşüyor etleri kenfi çiftliklerinden otopark sorun fiatlar normal,otopark,0
Eski kalitesinde olmasada hala iyi diyelim talep çok olunca ister istemez kalite ve servis vasata düşüyor etleri kenfi çiftliklerinden otopark sorun fiatlar normal,fiatlar,1
Eski kalitesinde olmasada hala iyi diyelim talep çok olunca ister istemez kalite ve servis vasata düşüyor etleri kenfi çiftliklerinden otopark sorun fiatlar normal,kalite,1
Eski kalitesinde olmasada hala iyi diyelim talep çok olunca ister istemez kalite ve servis vasata düşüyor etleri kenfi çiftliklerinden otopark sorun fiatlar normal,servis,1
"Manzarasi icin gidilesi cafe , cok fazla yazacak bisey yok.",Manzarasi,2
fiyatlar standart seviyede.,fiyatlar,1
otopark sorunu yok.,otopark,2
sessiz sakin ve huzurlu bir mekan.,mekan,2
Kuru fasulyesi lezzetli.,Kuru fasulyesi,2
Sutlaci tavsiye edilir.,Sutlaci,2
Köftesi de kaliteli.,Köftesi,2
Sade güzel bir yer.,yer,2
Çalışanlar ilgili kibar.,Çalışanlar,2
Park sorunu ciddi.,Park,0
Valesi var gerçi.,Valesi,1
Pazar sabahları brunch dışında seçeneğiniz yok.,seçeneğiniz,0
Brunch çeşitleri ehh.,Brunch,1
Masaya istenen sucuklu yumurtanın sucuğuna extra ücret istenmesi ayıp.,ücret,0
Mekanın lokasyonu on numara ama rezervasyonsuz deniz kenarı masa bulmanız imkansız.,Mekanın lokasyonu,2
"Böyle bir brunch için 59TL, 4 ince dilim sucuk için 5TL extra ücret mânâsız.",brunch,0
"Böyle bir brunch için 59TL, 4 ince dilim sucuk için 5TL extra ücret mânâsız.",ücret,0
En son kabalık bir grup halinde gittiğimizde siparişlerde karışıklık olmuştu malesef.,siparişlerde,0
